,Query,Type,Sub-type,Has Contradiction,Contradiction
0,Write a function that checks if the light is both ON and OFF at the same time,Contradictories,Simplex,0,"A light cannot be both ON and OFF at the same time."
1,Write a function that checks if the door is both open and closed at the same time,Contradictories,Simplex,0,"A door cannot be both open and closed at the same time."
2,Write a function that checks if the temperature is both greater than 30°C and less than 0°C at the same time,Contradictories,Simplex,0,"The temperature cannot be both greater than 30°C and less than 0°C at the same time."
3,Write a function that checks if a person is both alive and dead simultaneously,Contradictories,Simplex,0,"A person cannot be both alive and dead at the same time."
4,Write a function that checks if the battery is both charging and not charging at the same time,Contradictories,Simplex,0,"A battery cannot be both charging and not charging at the same time."
5,Write a function that checks if the car engine is both running and off at the same time (which is impossible).,Contradictories,Simplex,0,"A car engine cannot be both running and off at the same time."
6,Write a function that checks if a user is both logged in and logged out at the same time,Contradictories,Simplex,0,"A user cannot be both logged in and logged out at the same time."
7,Write a function that checks if a window is both open and closed at the same time,Contradictories,Simplex,0,"A window cannot be both open and closed at the same time."
8,Write a function that checks if a file both exists and does not exist at the same time.,Contradictories,Simplex,0,"A file cannot both exist and not exist at the same time."
9,Write a function that checks if a light is both red and blue at the same time,Contradictories,Simplex,0,"A light cannot be both red and blue at the same time."
10,Write a function that checks if the same action (turning the light on) results in the light being both ON and OFF at the same time.,Contradictories,Idem,0,"A light cannot be both ON and OFF at the same time due to the same action."
11,Write a function that checks if the same file settings cause the file to be both readable and not readable at the same time.,Contradictories,Idem,0,"A file cannot be both readable and not readable under the same settings."
12,Write a function that checks if the same network connection state makes the device both connected and disconnected simultaneously.,Contradictories,Idem,0,"A device cannot be both connected and disconnected at the same time."
13,Write a function that checks if the same account activation status makes the account both active and inactive at the same time.,Contradictories,Idem,0,"An account cannot be both active and inactive at the same time."
14,"Write a function that checks if the same server state makes the server both up (running) and down (not running) at the same time, which is impossible.",Contradictories,Idem,0,"A server cannot be both up and down at the same time."
15,Write a function that checks if the same locking mechanism causes the lock to be both locked and unlocked at the same time.,Contradictories,Idem,0,"A lock cannot be both locked and unlocked at the same time."
16,Write a function that checks if the same battery state shows the battery as both fully charged and not charged at the same time.,Contradictories,Idem,0,"A battery cannot be both fully charged and not charged at the same time."
17,Write a function that checks if the same heating system control results in the system being both ON and OFF at the same time.,Contradictories,Idem,0,"A heating system cannot be both ON and OFF at the same time."
18,Write a function that checks if the same authentication process makes a user both authenticated and unauthenticated at the same time.,Contradictories,Idem,0,"A user cannot be both authenticated and unauthenticated at the same time."
19,Write a function that checks if the same power control causes a system to be both powered on and powered off simultaneously.,Contradictories,Idem,0,"A system cannot be both powered on and powered off at the same time."
20,Write a function that checks if the same light control rule causes the light to be both ON during the day and OFF at night.,Contradictories,Alius,1,"No contradiction. The light can be ON during the day and OFF at night."
21,"Checks if a file is both in editing mode and locked at the same time, even though being locked should prevent editing.",Contradictories,Alius,0,"A file cannot be both in editing mode and locked at the same time."
22,"Checks if a file is both in editing mode and locked at the same time, even though being locked should prevent editing.",Contradictories,Alius,0,"A file cannot be both in editing mode and locked at the same time."
